"url","primary_keyword","seo_title","meta_description","h1","search_intent","state"
"/","useful products online Pakistan","Useful Gadgets & Home Products in Pakistan | Mixenza","Browse useful gadgets, kitchen tools and everyday home products at Mixenza. Compare PKR prices and product details, and contact us for help choosing.","Useful everyday products for homes in Pakistan","Commercial","Existing; new draft"
"/shop","shop useful products Pakistan","Shop Home Products & Gadgets Online | Mixenza","Browse the Mixenza catalog for practical home products, kitchen tools, fans and gadgets. Compare available options and current prices in Pakistani rupees.","Shop all products","Commercial","Existing; new draft"
"/shop/electronics-gadgets","gadgets Pakistan","Electronics & Gadgets in Pakistan | Mixenza","Browse electronics & gadgets at Mixenza. Compare current PKR prices, product details and available options before ordering.","Electronics & Gadgets in Pakistan","Transactional","Existing; curated copy"
"/shop/kitchenware","kitchen gadgets Pakistan","Kitchen Gadgets & Accessories in Pakistan | Mixenza","Browse kitchen gadgets & accessories at Mixenza. Compare current PKR prices, product details and available options before ordering.","Kitchen Gadgets & Accessories in Pakistan","Transactional","Existing; curated copy"
"/shop/portable-fans","portable fan price in Pakistan","Portable & Rechargeable Fans in Pakistan | Mixenza","Browse portable & rechargeable fans at Mixenza. Compare current PKR prices, product details and available options before ordering.","Portable & Rechargeable Fans in Pakistan","Transactional","Existing; curated copy"
"/shop/money-detectors","money detector price in Pakistan","UV Money Detectors in Pakistan | Mixenza","Browse uv money detectors at Mixenza. Compare current PKR prices, product details and available options before ordering.","UV Money Detectors in Pakistan","Transactional","Existing; curated copy"
"/shop/health-beauty","personal care products Pakistan","Personal Care & Beauty Tools in Pakistan | Mixenza","Browse personal care & beauty tools at Mixenza. Compare current PKR prices, product details and available options before ordering.","Personal Care & Beauty Tools in Pakistan","Transactional","Existing; curated copy"
"/shop/hair-care","hair care tools Pakistan","Hair Brushes & Styling Tools in Pakistan | Mixenza","Browse hair brushes & styling tools at Mixenza. Compare current PKR prices, product details and available options before ordering.","Hair Brushes & Styling Tools in Pakistan","Transactional","Existing; curated copy"
"/shop/cleaning-products","cleaning products Pakistan","Cleaning Tools for Homes in Pakistan | Mixenza","Browse cleaning tools for homes at Mixenza. Compare current PKR prices, product details and available options before ordering.","Cleaning Tools for Homes in Pakistan","Transactional","Existing; curated copy"
"/shop/home-essentials","home essentials Pakistan","Useful Home Essentials in Pakistan | Mixenza","Browse useful home essentials at Mixenza. Compare current PKR prices, product details and available options before ordering.","Useful Home Essentials in Pakistan","Transactional","Existing; curated copy"
