"url","sample_html_depth","category","scope"
"/product/pickora-1970697444","2","Hair Care","Partial server-HTML crawl; rendered/complete crawl and backend reconciliation required"
"/product/pickora-1971400774","2","Home Essentials","Partial server-HTML crawl; rendered/complete crawl and backend reconciliation required"
"/product/pickora-1971845697","2","Drinkware","Partial server-HTML crawl; rendered/complete crawl and backend reconciliation required"
"/product/pickora-1972612611","2","Money Detectors","Partial server-HTML crawl; rendered/complete crawl and backend reconciliation required"
"/product/pickora-1973011885","2","Office Accessories","Partial server-HTML crawl; rendered/complete crawl and backend reconciliation required"
"/product/pickora-1973702573","2","Wellness","Partial server-HTML crawl; rendered/complete crawl and backend reconciliation required"
"/product/pickora-1963263814","2","Money Detectors","Partial server-HTML crawl; rendered/complete crawl and backend reconciliation required"
"/product/pickora-1965017109","2","Portable Fans","Partial server-HTML crawl; rendered/complete crawl and backend reconciliation required"
"/product/pickora-1966895078","2","Portable Fans","Partial server-HTML crawl; rendered/complete crawl and backend reconciliation required"
"/product/tos-8718446526625-portable-mini-mosquito-killer-lamp-uv-light-mosquito-repellent-device","3","General","Partial server-HTML crawl; rendered/complete crawl and backend reconciliation required"
"/product/tos-8707516006561-single-nima-grinder","3","General","Partial server-HTML crawl; rendered/complete crawl and backend reconciliation required"
"/product/tos-8699738390689-rotating-fingertip-ball-fidget-spinner-stress-relief-toy","3","General","Partial server-HTML crawl; rendered/complete crawl and backend reconciliation required"
"/product/tos-8697414418593-black-white-head-remover-with-vacuum","3","General","Partial server-HTML crawl; rendered/complete crawl and backend reconciliation required"
"/product/tos-8690169249953-portable-led-uv-lamp-purple-light-flashlight-money-detector","3","General","Partial server-HTML crawl; rendered/complete crawl and backend reconciliation required"
"/product/tos-8690137366689-disposable-breathable-socks-compression-summer-medium-sleeve-short","3","General","Partial server-HTML crawl; rendered/complete crawl and backend reconciliation required"
"/product/tos-8690110267553-portable-protable-knee-massager-for-joint-and-muscle-relaxation-elbow-shoulder-massage-machine","3","General","Partial server-HTML crawl; rendered/complete crawl and backend reconciliation required"
"/product/tos-8690103025825-for-mini-for-smart-scalp-massager-with-red-light","3","Electronics & Gadgets","Partial server-HTML crawl; rendered/complete crawl and backend reconciliation required"
"/product/tos-8690098208929-posture-corrector-back-brace-adjustable-straightener-for-neck-and-upper-back-pain-relief-9-reviews","3","General","Partial server-HTML crawl; rendered/complete crawl and backend reconciliation required"
"/product/tos-8657959452833-car-washing-gun-single-battery","3","General","Partial server-HTML crawl; rendered/complete crawl and backend reconciliation required"
"/product/tos-8657921736865-wet-wipes-hand-mouth-cleaning-portable-withdrawable-8-pieces","3","General","Partial server-HTML crawl; rendered/complete crawl and backend reconciliation required"
"/product/tos-8657896243361-liner-shelf-drawer-liner-cabinet-mat-decorative-film-refrigerator","3","General","Partial server-HTML crawl; rendered/complete crawl and backend reconciliation required"
"/product/tos-8657545724065-hair-straightener-and-curler-multifunctional-2-in-1-flat-iron","3","General","Partial server-HTML crawl; rendered/complete crawl and backend reconciliation required"
"/product/tos-8595515179169-kitchen-cleaning-brush-long-handle-compact-dish-bowl-scrubber","3","General","Partial server-HTML crawl; rendered/complete crawl and backend reconciliation required"
"/product/tos-8595513901217-best-sell-mini-hair-curler-fluffy-splint-flat-iron-curling","3","General","Partial server-HTML crawl; rendered/complete crawl and backend reconciliation required"
"/product/tos-8555030773921-child-safety-locks-home-refrigerator-lock","3","General","Partial server-HTML crawl; rendered/complete crawl and backend reconciliation required"
"/product/tos-8554960715937-led-night-lights-games-brownstone-torch-lamp","3","Home & Lifestyle","Partial server-HTML crawl; rendered/complete crawl and backend reconciliation required"
